*	name	Conjugation verbos
*	card-order	3
*	max-new-cards	20
*	card-theme	Chalkboard - Clear
*	tsv	true
*	category-1	participio pasado|futuro|gerundio|pretérito imperfecto|presente|condicional|pretérito perfector simple|subjuntivo pretérito imperfecto|presente subjuntivo
*	deck-stats-1	2636,2880,1628,38,16,1,9,16,15,27,19,16,6,10,40,17,14,41,21,49,195,6,6,16,7,10,0,1,2,4,4,9,7,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,1245,15,13,1,6,16,15,24,20,11,6,12,39,17,9,45,15,49,12,9,3,2,10,9,0,3,6,6,5,10,10,1128,11,10,1,5,14,13,21,15,9,5,12,34,15,8,40,14,42,8,8,3,2,10,8,0,3,4,5,5,8,9,454,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,6,0,0,0,0,0,0,0,0,0,624,3,2,0,3,4,7,8,-9,2,1,11,26,9,5,37,12,29,0,1,2,2,3,3,0,3,-4,2,4,5,4,68060,521,305,149,115,370,860,583,-1037,538,147,985,1150,723,266,1081,722,425,715,541,30,182,647,452,0,145,54,185,181,494,575,1062,948,334,290,242,227
Text 1	Text 2	Text 3	Category 1	Statistics 1
"<u>abrir</u>

participio pasado"	abierto		participio pasado	2,0,10,10,10,9,1934,2017-09-27 10:06,2017-12-17 00:06
"<u>actuar</u>

presente subjuntivo"	"actúe
actúes
actúe
actuemos
actuéis
actúen"		presente subjuntivo	2,0,6,5,5,4,147,2017-11-14 21:39,2017-11-21 00:39
"<u>andar

</u>pretérito perfector simple"	"anduve
anduviste
anduvo
anduvimos
anduvisteis
anduvieron"		pretérito perfector simple	2,0,9,9,9,8,1424,2017-09-30 11:04,2017-11-28 19:04
"<u>aprender</u>

presente subjuntivo"	"aprenda
aprendas
aprenda
aprendamos
aprendáis
aprendan"		presente subjuntivo	2,0,4,4,4,3,191,2017-11-13 21:29,2017-11-21 20:29
"<u>asir</u>

presente subjuntivo"	"asga
asgas
asga
asgamos
asgáis
asgan"		presente subjuntivo	2,0,4,4,4,3,254,2017-11-15 21:46,2017-11-26 11:46
"<u>atracar</u>

pretérito perfecto simple"	"atraqué
atracaste
atracó
atracamos
atracasteis
atracaron"		pretérito perfector simple	2,0,10,8,4,5,209,2017-11-20 10:59,2017-11-29 03:59
"<u>averiguar</u>

pretérito perfecto simple"	"averigüé
averiguaste
averiguó
averiguamos
averiguasteis
averiguaron"		pretérito perfector simple	2,0,6,6,6,5,487,2017-11-02 21:51,2017-11-23 04:51
"<u>bullir</u>

pretérito perfecto simple"	"bullí
bulliste
bulló
bullimos
bullisteis
bulleron"		pretérito perfector simple	2,0,6,6,6,5,484,2017-11-02 21:52,2017-11-23 01:52
"<u>caber</u>

futuro"	"cabré
cabrás
cabrá
cabremos
cabréis
cabrán"		futuro	2,0,9,9,10,9,1755,2017-09-12 11:09,2017-11-24 14:09
"<u>caber

</u>presente"	"quepo
cabes
cabe
cabemos
cabéis
caben"		presente	2,0,9,9,9,8,1568,2017-10-08 13:38,2017-12-12 21:38
"<u>caber</u>

pretérito perfector simple"	"cupe
cupiste
cupo
cupimos
cupisteis
cupieron"		pretérito perfector simple	2,0,14,10,2,3,67,2017-11-19 12:56,2017-11-22 07:56
"<u>caer

</u>gerundio"	cayendo		gerundio	2,0,8,8,8,7,1741,2017-10-22 15:46,2018-01-03 04:46
"<u>caer

</u>participio pasado"	caído		participio pasado	2,0,9,9,9,8,1364,2017-10-03 21:14,2017-11-29 17:14
"<u>caer

</u>presente"	"caigo
caes
cae
caemos
caéis
caen"		presente	2,0,9,9,9,8,1589,2017-10-12 09:52,2017-12-17 14:52
"<u>caer</u>

presente subjuntivo"	"caiga
caigas
caiga
caigamos
caigáis
caigan"		presente subjuntivo	2,0,4,4,4,3,198,2017-11-14 21:38,2017-11-23 03:38
