*	name	Español
*	card-order	3
*	tts-voice	0,99,0,0,0
*	siri-tts-voice	,Siri|es-MX||com.apple.ttsbundle.Paulina-compact|español (México)|Siri,,,
*	card-theme	Chalkboard - Clear
*	notify-off	1
*	tsv	true
*	deck-stats-1	2636,2853,9993,0,61,70,77,85,159,155,113,50,117,0,70,52,62,87,130,0,135,20,70,88,70,88,93,106,30,70,119,34,107,1665,0,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,17475,0,151,158,154,198,200,171,102,140,273,0,111,127,155,122,311,0,205,50,167,144,176,104,151,189,63,174,164,83,252,14569,0,135,134,128,178,155,132,93,117,244,0,100,111,136,110,281,0,178,42,146,121,155,82,121,158,53,156,145,73,217,4927,0,0,0,0,0,142,179,170,0,0,0,96,0,0,140,0,0,0,0,0,107,28,162,15,0,0,0,162,0,0,6273,0,75,68,75,121,70,77,51,47,136,0,54,58,75,57,148,0,104,13,82,59,103,25,38,92,23,103,120,36,113,680642,0,7505,6815,6129,6257,2104,5107,6159,5660,13911,0,5901,7029,5270,7041,18468,0,8444,394,2952,2762,5137,1412,3281,6271,2394,5322,9790,1788,5631,14601,12193,4162,3549,2210,1861
*	deck-stats-2	2640,2852,8279,116,0,91,124,149,122,99,58,98,0,74,23,57,74,122,66,1,18,36,84,98,126,82,40,15,58,90,17,67,0,1349,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,0,14380,260,0,163,241,158,130,102,123,197,0,100,58,126,57,254,100,0,55,87,100,179,114,130,106,34,124,41,40,148,0,12500,206,0,135,170,141,108,87,116,181,0,90,54,115,52,239,87,0,52,81,90,160,97,117,103,34,111,38,37,130,0,4856,0,0,0,0,146,152,155,0,0,0,100,0,0,153,0,0,0,0,0,126,31,186,16,0,0,0,176,0,0,0,6873,59,0,80,81,103,73,39,76,99,0,44,24,66,12,108,70,0,25,54,39,107,34,71,79,22,82,19,21,62,0,734333,5224,0,6614,4924,7061,5327,6248,8690,11428,0,4669,2736,2259,3103,16960,2090,0,3004,2580,2434,7214,6655,9135,4353,1361,3678,1472,725,3061,0,11329,9592,3683,3360,2333,2137
*	deck-stats-3	2671,2672,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Category 1	Category 2	Text 3	Text 4	Statistics 1	Statistics 2	Statistics 3	Notes
10	diez					2,0,5,5,5,6,376,2017-10-21 18:00,2017-11-06 10:00	2,0,4,4,4,4,215,2017-10-15 21:06,2017-10-24 20:06		
11	once					2,0,7,7,9,8,2347,2017-10-02 21:09,2018-01-08 16:09	2,0,7,7,10,8,2184,2017-08-28 21:54,2017-11-27 21:54		
12	doce					2,0,7,7,7,4,1706,2017-09-21 20:56,2017-12-01 22:56	2,0,9,9,11,9,2268,2017-09-22 10:22,2017-12-25 22:22		
13	trece					2,0,9,9,9,6,1527,2017-09-21 20:51,2017-11-24 11:51	2,0,8,8,10,8,2374,2017-09-22 10:26,2017-12-30 08:26		
14	trece					2,0,11,10,5,4,1054,2017-09-28 21:11,2017-11-11 19:11	2,0,9,9,9,7,1377,2017-09-22 10:17,2017-11-18 19:17	2,0,0,0,0,1,66,2017-04-26 10:58,2017-04-29 04:58	
15	quince					2,0,10,9,3,2,433,2017-10-10 09:53,2017-10-28 10:53	2,0,10,10,11,9,2758,2017-09-22 10:23,2018-01-15 08:23		
16	dieciséis					2,0,12,11,5,6,484,2017-10-21 18:01,2017-11-10 22:01	2,0,11,11,11,12,1828,2017-10-17 20:38,2018-01-02 00:38		
17	diecisiete					2,0,14,12,4,5,531,2017-10-17 20:34,2017-11-08 23:34	2,0,25,16,2,3,156,2017-10-21 18:25,2017-10-28 06:25		
18	dieciocho					2,0,12,11,5,6,864,2017-10-16 20:43,2017-11-21 20:43	2,0,10,10,10,8,1701,2017-09-22 10:22,2017-12-02 07:22		
19	diecinueve					2,0,13,12,5,6,932,2017-10-18 10:21,2017-11-26 06:21	2,0,17,13,2,3,243,2017-10-20 09:03,2017-10-30 12:03	2,0,0,0,0,1,71,2017-04-26 17:25,2017-04-29 16:25	
20	veinte					2,0,6,6,7,4,1706,2017-09-21 21:00,2017-12-01 23:00	2,0,7,7,9,7,2380,2017-08-28 21:55,2017-12-06 01:55		
100	cien / ciento					2,0,4,4,4,3,196,2017-10-15 21:24,2017-10-24 01:24	2,0,5,5,5,6,296,2017-10-20 21:34,2017-11-02 05:34		
(мне) стыдно	(me) da vergüenza					2,0,8,8,10,7,2605,2017-09-21 21:12,2018-01-08 10:12	2,0,7,7,8,6,1592,2017-08-28 21:41,2017-11-03 05:41		
абажур	pantalla					2,0,18,12,4,1,844,2017-09-25 10:47,2017-10-30 14:47	2,0,18,13,5,6,464,2017-10-23 10:48,2017-11-11 18:48		
абрикос	albaricoque					2,0,10,9,12,9,3179,2017-09-26 09:10,2018-02-05 20:10	2,0,8,8,9,7,1523,2017-09-22 10:14,2017-11-24 21:14		
август	agosto					2,0,13,11,6,3,1057,2017-09-21 11:14,2017-11-04 12:14	2,0,10,10,10,11,1858,2017-10-23 10:51,2018-01-08 20:51		
автомобиль	"coche
carro"					2,0,9,7,8,7,423,2017-10-12 10:18,2017-10-30 01:18	2,0,6,6,6,6,537,2017-10-09 10:30,2017-10-31 19:30		
автопортрет	autoretrato					2,0,6,6,6,5,507,2017-10-11 20:22,2017-11-01 23:22	2,0,6,6,6,7,634,2017-10-19 21:01,2017-11-15 07:01		
агава	agave					2,0,3,3,3,4,109,2017-10-23 10:27,2017-10-27 23:27	2,0,2,2,2,3,65,2017-10-21 18:23,2017-10-24 11:23		
